feature_a,feature_b,pairwise_mi,pair_rank
marital_status,relationship,0.7253258064267969,1
workclass,occupation,0.3293243893664596,2
relationship,gender,0.2699378671729155,3
age,marital_status,0.232692413520194,4
education_num,occupation,0.21348728259224695,5
age,relationship,0.18157811901393967,6
marital_status,gender,0.11102075252697888,7
occupation,gender,0.09809308009975676,8
occupation,relationship,0.083638904474146,9
hours_per_week,occupation,0.07433365867726247,10
age,hours_per_week,0.06572005036734621,11
age,occupation,0.05944128099604909,12
hours_per_week,relationship,0.059436142297852365,13
marital_status,occupation,0.052822491498816466,14
age,education_num,0.05170158695058482,15
age,workclass,0.0484403513884665,16
race,native_country_grouped,0.04160923200121404,17
hours_per_week,workclass,0.03597588869748105,18
hours_per_week,marital_status,0.03573723975381363,19
education_num,relationship,0.02992016267521257,20
